customer_id,gender,age,edu_level,income_level,city,register_date,channel,max_open_months,total_credit_limit,recent_3m_amount,credit_usage_rate
C0001,male,22,研究生,10k-20k,杭州,2023/8/2,promotion,,,,0
C0002,female,26,高中,10k-20k,北京,2020/8/16,branch,25,25000,,0
C0003,male,40,研究生,0-5k,杭州,2020/2/21,promotion,51,125000,,0
C0004,male,28,研究生,10k-20k,深圳,2021/7/17,promotion,34,110000,,0
C0005,male,37,高中,10k-20k,上海,2021/5/16,promotion,13,15000,,0
C0006,female,23,研究生,0-5k,成都,2021/4/2,promotion,16,30000,,0
C0007,male,44,高中,20k+,深圳,2020/10/12,online,50,50000,,0
C0008,male,33,本科,0-5k,杭州,2020/7/28,online,43,25000,,0
C0009,male,28,研究生,20k+,成都,2023/10/17,promotion,,,,0
C0010,female,45,本科,10k-20k,杭州,2023/1/21,branch,,,,0
C0011,male,21,高中,10k-20k,杭州,2020/6/27,online,,,,0
C0012,male,39,研究生,10k-20k,上海,2023/4/24,promotion,49,50000,,0
C0013,male,47,高中,5k-10k,成都,2022/5/14,online,,,,0
C0014,male,26,本科,20k+,成都,2020/3/6,online,12,15000,,0
C0015,female,27,高中,5k-10k,上海,2020/3/2,branch,,,,0
C0016,male,54,研究生,5k-10k,深圳,2020/7/10,promotion,46,10000,,0
C0017,female,33,研究生,0-5k,杭州,2021/3/23,promotion,43,95000,,0
C0018,female,36,本科,5k-10k,北京,2021/4/21,branch,10,35000,,0
C0019,female,23,高中,0-5k,杭州,2022/10/31,branch,43,10000,,0
C0020,male,21,研究生,0-5k,杭州,2023/5/17,promotion,41,15000,,0
C0021,female,25,本科,5k-10k,深圳,2020/2/24,promotion,40,75000,,0
C0022,male,23,研究生,20k+,杭州,2023/2/23,branch,47,70000,,0
C0023,female,48,研究生,20k+,上海,2021/2/11,online,14,80000,,0
C0024,female,37,高中,20k+,上海,2024/1/6,online,50,45000,,0
C0025,female,45,研究生,20k+,成都,2023/8/23,branch,20,10000,,0
C0026,female,53,高中,20k+,北京,2023/12/7,online,,,,0
C0027,female,29,研究生,5k-10k,杭州,2023/1/21,branch,30,110000,,0
C0028,female,33,本科,5k-10k,杭州,2022/5/9,online,28,80000,,0
C0029,female,50,研究生,10k-20k,深圳,2021/3/27,online,39,90000,,0
C0030,female,34,高中,20k+,上海,2022/7/8,promotion,36,145000,,0
C0031,male,27,高中,5k-10k,北京,2023/4/21,promotion,27,110000,,0
C0032,male,33,本科,10k-20k,成都,2021/7/23,online,16,95000,,0
C0033,female,42,研究生,20k+,上海,2020/1/14,online,50,220000,,0
C0034,female,40,研究生,0-5k,成都,2020/11/22,promotion,40,20000,,0
C0035,female,35,本科,10k-20k,深圳,2023/11/30,promotion,39,80000,,0
C0036,male,37,研究生,5k-10k,深圳,2022/5/15,promotion,49,10000,,0
C0037,female,43,研究生,0-5k,杭州,2021/11/27,branch,32,50000,,0
C0038,male,45,高中,0-5k,北京,2021/7/23,online,23,50000,,0
C0039,male,44,研究生,0-5k,成都,2020/11/14,promotion,,,,0
C0040,male,48,研究生,10k-20k,上海,2021/3/16,online,45,15000,,0
C0041,male,34,本科,5k-10k,深圳,2021/11/20,branch,28,40000,,0
C0042,male,20,本科,0-5k,杭州,2020/7/28,branch,27,20000,,0
C0043,female,44,高中,20k+,杭州,2020/7/8,promotion,,,,0
C0044,female,26,研究生,0-5k,成都,2022/2/17,branch,23,20000,,0
C0045,female,28,研究生,0-5k,深圳,2020/7/17,online,29,30000,,0
C0046,female,43,研究生,10k-20k,北京,2022/1/5,promotion,36,210000,,0
C0047,female,20,高中,10k-20k,深圳,2021/12/5,online,18,90000,,0
C0048,male,27,高中,5k-10k,成都,2023/5/21,online,35,130000,,0
C0049,female,43,本科,20k+,成都,2021/6/25,branch,52,130000,,0
C0050,female,30,高中,10k-20k,深圳,2020/3/29,branch,37,50000,,0
